0,1,2,3,4,5,6,7
,61.01,,,,"Manteaux, cabans, capes, anoraks, blousons et articles similaires, en bonneterie, pour hommes ou garÃ§onnets, Ã  l'exclusion des articles du nÂ° 61.03.",,
8,,6101.20,00,00,- De coton,U,- - - - -
,,6101.30,00,,- De fibres synthÃ©tiques ou artificielles,,
8,,,,10,- - - de fibres textiles synthÃ©tiques,U,- - - - -
8,,,,20,- - - de fibres textiles artificielles,U,- - - - -
8,,6101.90,00,00,- D'autres matiÃ¨res textiles,U,- - - - -
,61.02,,,,"Manteaux, cabans, capes, anoraks, blousons et articles similaires, en bonneterie, pour femmes ou fillettes, Ã  l'exclusion des articles du nÂ° 61.04.",,
8,,6102.10,00,00,- De laine ou de poils fins,U,- - - - -
8,,6102.20,00,00,- De coton,U,- - - - -
,,6102.30,00,,- De fibres synthÃ©tiques ou artificielles,,
8,,,,10,- - - de fibres textiles synthÃ©tiques,U,- - - - -
8,,,,20,- - - de fibres textiles artificielles,U,- - - - -
8,,6102.90,00,00,- D'autres matiÃ¨res textiles,U,- - - - -
,61.03,,,,"- - - - Costumes ou complets, ensembles, vestons, pantalons, salopettes Ã  bretelles, culottes et shorts (autres que pour le bain), en bonneterie, pour hommes ou garÃ§onnets.Â£- Costumes ou complets :",,
,,6103.10,,,- Costumes ou complets,,
,,,00,,- Costumes ou complets,,
8,,,,00,- Costumes ou complets,U,- - - - -
8,,6103.22,00,00,- - De coton,U,NOMBRE
8,,6103.23,00,00,- - De fibres synthÃ©tiques,U,NOMBRE
8,,6103.29,00,00,- - D'autres matiÃ¨res textilesÂ£- Vestons :,U,NOMBRE
8,,6103.31,00,00,- - De laine ou de poils fins,U,NOMBRE
8,,6103.32,00,00,- - De coton,U,NOMBRE
8,,6103.33,00,00,- - De fibres synthÃ©tiques,U,NOMBRE
,,6103.39,00,,- - D'autres matiÃ¨res textiles,,
8,,,,10,- - - de fibres textiles artificielles,U,NOMBRE
